word/expression,Phonetic,Korean,Vietnamese,example,meanimg-VI,meanimg-KR,Type
Noun,,,,,,,
User Interface (UI),ˈjuːzər ˈɪntəˌfeɪs (juː-aɪ),사용자 인터페이스 (UI),Giao diện người dùng (UI),The user interface of the app is too complicated,Giao diện người dùng của ứng dụng quá phức tạp,앱의 유저 인터페이스가 너무 복잡합니다.,Noun
Front-End,frʌnt-ɛnd,프론트 엔드,Front-End,The front-end developer is fixing miscellaneous bugs.,Nhà phát triển Front-end đang sửa lỗi linh tinh.,프론트엔드 개발자가 자잘한 버그를 고치고 있습니다.,Noun
Back -End,bæk -ɛnd,뒤로 -엔드,Back -End,"Back-End, which is also called server-side, is like the brain of web services.","Back-end, còn được gọi là phía máy chủ, giống như bộ não của các dịch vụ web.","서버 사이드라고도 불리는 백엔드는 웹 서비스의 
 뇌와 같습니다.",Noun
DevOps,de'vɒps,DevOps,DevOps,DevOps engineers need to ensure that the software will work across a variety of platforms.,Các kỹ sư của DevOps cần đảm bảo rằng phần mềm sẽ hoạt động trên nhiều nền tảng khác nhau.,데브옵스 엔지니어는 소프트웨어가 다양한 플랫폼에서 작동하도록 해야 합니다.,Noun
Backlog,ˈbæklɒɡ,백 로그,Đang tải...,There are massive backlogs we have to handle by this week.,Có những tồn đọng lớn mà chúng tôi phải xử lý trong tuần này.,이번 주까지 처리해야 하는 엄청난 백로그가 있습니다.,Noun
Agile Software Development,ˈæʤaɪl ˈsɒftweə dɪˈvɛləpmənt,민첩한 소프트웨어 개발,Phát triển phần mềm Agile,Agile Software Development refers to a software development methodology based on iterative development.,Phát triển phần mềm Agile đề cập đến một phương pháp phát triển phần mềm dựa trên sự phát triển lặp đi lặp lại.,"애자일 소프트웨어 개발은 반복적인 개발에 기반한 
 소프트웨어 개발 방법론을 의미합니다.",Noun
Sprint,sprɪnt,스프린트,Sprint,The team is shipping more predictable and consistent products after implementing the sprints.,Nhóm nghiên cứu đang vận chuyển nhiều sản phẩm có thể dự đoán được và nhất quán sau khi triển khai chạy nước rút.,"팀은 스프린트를 도입한 후 더 예측 가능하고 
 일관된 프로덕트를 제공하고 있습니다.",Noun
Build,bɪld,짓다,Bản dựng,We've found a lot of bugs in this build.,Chúng tôi đã tìm thấy rất nhiều lỗi trong bản dựng này.,이 빌드에서 많은 버그를 발견했습니다.,Noun
Library,ˈlaɪbrᵊri,도서관,Thư viện,It is a deprecated library,Nó là một thư viện không dùng nữa,더 이상 사용을 권장하지 않는 라이브러리입니다.,Noun
MVP (Minimum Viable Product),ɛm-viː-piː (ˈmɪnɪməm ˈvaɪəbᵊl ˈprɒdʌkt),MVP (최소 실행 가능한 제품),MVP (sản phẩm khả thi tối thiểu),Build an MVP fast and get your idea reviewed.,Xây dựng MVP nhanh và nhận được ý tưởng của bạn được xem xét.,"MVP를 빠르게 만들고, 아이디어를 검증 받으세요.",Noun
SaaS (Software as a Service),SaaS (ˈsɒftweər æz ə ˈsɜːvɪs),SaaS (서비스로서 소프트웨어),SaaS (phần mềm như một dịch vụ),The number of SaaS startup is skyrocketing nowadays.,Số lượng khởi động SaaS ngày nay tăng vọt.,요즘 SaaS 스타트업 수가 급증하고 있습니다.,Noun
UX (User Experience),juː-ɛks (ˈjuːzər ɪkˈspɪəriəns),UX (사용자 경험),UX (Trải nghiệm người dùng),UX plays a key role in attracting users.,UX đóng một vai trò quan trọng trong việc thu hút người dùng.,"사용자 경험은 더 많은 유저를 끌어모으기 위한 핵심적인
  역할을 합니다.",Noun
Google,ˈɡuːɡᵊl,Google,Google,I have worked at Google since 2018.,Tôi đã làm việc tại Google từ năm 2018.,저는 2018년부터 구글에서 일해 왔습니다.,Noun
,,,,,,,
Verb,,,,,,,
Look over,lʊk ˈəʊvə,살펴보세요,Nhìn qua,Let me look over the pull request.,Hãy để tôi xem qua yêu cầu kéo.,풀 리퀘스트를 살펴볼게,Verb
Go over,ɡəʊ ˈəʊvə,가라,Đi qua,I went over the code thoroughly.,Tôi đã vượt qua mã hoàn toàn.,코드를 꼼꼼히 확인했습니다.,Verb
Ask for,ɑːsk fɔː,요청하십시오,Hỏi về,Ask for the manager for confirmation.,Yêu cầu người quản lý để xác nhận.,확인 받으려면 매니저를 찾아주세요,Verb
Back up,bæk ʌp,백업,Hỗ trợ,Did you back up your password?,Bạn đã sao lưu mật khẩu của bạn?,비밀번호를 백업하셨나요?,Verb
Hook up,hʊk ʌp,연결,Treo lên,How should I hook up this internet cable?,Làm thế nào tôi nên kết nối cáp internet này?,이 인터넷 케이블을 어떻게 연결해야 할까여?,Verb
Boot up,buːt ʌp,부팅,Khởi động,My laptop is booting up.,Máy tính xách tay của tôi đang khởi động.,제 랩탑이 부팅되고 있습니다.,Verb
Set up,sɛt ʌp,설정,Cài đặt,It takes a long time to set up this program.,Phải mất một thời gian dài để thiết lập chương trình này.,이 프로그램은 설치하는 데 오랜 시간이 걸립니다.,Verb
Pull down,pʊl daʊn,아래로 당겨,Dỡ xuống,"Right-click the file and pull down to ""Save as.."".","Nhấp chuột phải vào tệp và kéo xuống ""Lưu dưới dạng .."".","파일을 오른쪽 클릭하고 ""다른 이름으로 저장.."".을 
 선택하세요.",Verb
Click on,klɪk ɒn,클릭,Bấm vào,Click on the start button.,Nhấp vào nút Bắt đầu.,시작 버튼을 클릭하세요,Verb
Scroll up/ down,skrəʊl ʌp/ daʊn,위/ 아래로 스크롤하십시오,Cuộn lên/ xuống,"It takes too long to read, I have to scroll down a lot to read everything.","Phải mất quá nhiều thời gian để đọc, tôi phải cuộn xuống rất nhiều để đọc mọi thứ.","읽기에 너무 깁니다. 모두 읽으려면 스크롤을 많이 
 내려야 합니다.",Verb
Sign up,saɪn ʌp,가입하기,Đăng ký,Sign up to read more,Đăng ký để đọc thêm,더 읽으려면 회원가입하세요.,Verb
Sign in,saɪn ɪn,로그인,Đăng nhập,"If you have an account, please sign in.","Nếu bạn có một tài khoản, vui lòng đăng nhập.","계정이 있다면, 로그인하세요.",Verb
Sign out,saɪn aʊt,로그 아웃하십시오,Đăng xuất,"If it doesn't work, sign out and delete the cookies.","Nếu nó không hoạt động, hãy đăng xuất và xóa cookie.","작동하지 않으면, 로그아웃하고 쿠키를 제거하세요.",Verb
Key in,kiː ɪn,열쇠 IN,Khóa trong,The password is too complicated to key in.,Mật khẩu quá phức tạp để khóa.,그 암호는 입력하기에 너무 복잡합니다.,Verb
Opt in/ out,ɒpt ɪn/ aʊt,선택/ 아웃,Chọn vào/ ra,Please opt in to get exclusive offers by email.,Vui lòng chọn tham gia để nhận được ưu đãi độc quyền qua email.,특별 프로모션 수신을 원하면 동의해 주세요.,Verb
Go online/ offline,ɡəʊ ˈɒnˌlaɪn/ ˌɒfˈlaɪn,온라인/ 오프라인으로 이동하십시오,Lên mạng/ ngoại tuyến,Let me get back to you as soon as I go online.,Hãy để tôi liên hệ lại với bạn ngay khi tôi lên mạng.,온라인 상태가 되면 다시 연락 줄게.,Verb
Filter out,ˈfɪltər aʊt,필터링,Lọc ra,This firewall filters out malicious access.,Tường lửa này lọc ra truy cập độc hại.,이 방화벽은 악의적인 접근을 걸러냅니다.,Verb
Signed,saɪnd,서명,Ký,"We recommend using signed commit messages for 
 security reasons","Chúng tôi khuyên bạn nên sử dụng các tin nhắn cam kết đã ký cho
 lý do an ninh","보안 상의 이유로 서명된 커밋 메시지를 사용하는 것을 
 권장합니다.",Verb
Escape,ɪˈskeɪp,탈출하다,Bỏ trốn,Escaping is a method that allows us to tell a computer to do something special with the text we supply or to ignore the special function of a character.,Escaping là một phương pháp cho phép chúng ta nói với một máy tính làm một cái gì đó đặc biệt với văn bản chúng ta cung cấp hoặc bỏ qua chức năng đặc biệt của một ký tự.,"이스케이핑은 컴퓨터가 주어진 텍스트로 특정한 행동을 
 하도록 하거나, 문자의 특별한 기능을 무시하도록 하는 것입니다.",Verb
,,,,,,,
Place / Time,,,,,,,
On the SSD/HDD,ɒn ði ɛs-ɛs-diː/eɪʧ-diː-diː,SSD/HDD에서,Trên SSD/ổ cứng,The data will be stored on the new SSD from now on.,Dữ liệu sẽ được lưu trữ trên SSD mới kể từ bây giờ.,지금부터 데이터는 새 SSD에 저장될 것입니다.,Place / Time
On Facebook,ɒn ˈfeɪsˌbʊk,페이스 북에서,Trên Facebook,Find us on Twitter to learn more!,Tìm chúng tôi trên Twitter để tìm hiểu thêm!,더 알아보려면 트위터에서 저희를 찾아주세요!,Place / Time
On the website,ɒn ðə ˈwɛbˌsaɪt,웹 사이트상에서,Trên trang web,Please check the opening hours on the website.,Vui lòng kiểm tra giờ mở cửa trên trang web.,웹사이트에서 엽업시간을 확인해주세요.,Place / Time
On the computer,ɒn ðə kəmˈpjuːtə,컴퓨터에서,Trên máy tính,"This is the easiest way to install python on your 
 computer.","Đây là cách dễ nhất để cài đặt Python trên
 máy tính.","이 방법이 파이썬을 컴퓨터에 설치하는 사장 쉬운 
 방법입니다.",Place / Time
On the network,ɒn ðə ˈnɛtwɜːk,네트워크에서,Trên mạng,There are 3 printers on the network.,Có 3 máy in trên mạng.,네트워크에 프린터 3개가 있습니다.,Place / Time
On Wifi,ɒn ˈwaɪfaɪ,Wi -Fi에서,Trên wifi,"I'm on Wifi. Let me browse the Internet to see how 
 to take the metro at the airport.","Tôi đang sử dụng wifi. Hãy để tôi duyệt Internet để xem làm thế nào
 Để lấy tàu điện ngầm tại sân bay.","와이파이를 잡았습니다. 인터넷으로 공항철도를 어떻게 
 타는지 알아보겠습니다.",Place / Time
In the document,ɪn ðə ˈdɒkjəmənt,문서에서,Trong tài liệu,"This API example written in the document is kind 
 of confusing.","Ví dụ API này được viết trong tài liệu là loại
 khó hiểu.",문서에 쓰인 API 예시가 조금 헷갈립니다.,Place / Time
In the browser,ɪn ðə ˈbraʊzə,브라우저에서,Trong trình duyệt,You can delete cookies in the browser if you want.,Bạn có thể xóa cookie trong trình duyệt nếu bạn muốn.,원한다면 브라우저의 쿠키를 지울 수 있습니다.,Place / Time
In the file,ɪn ðə faɪl,파일에서,Trong file,There is a list of buyers in the file.,Có một danh sách người mua trong tập tin.,파일에 구매자 리스트가 있습니다.,Place / Time
In the directory,ɪn ðə daɪˈrɛktᵊri,디렉토리에서,Trong thư mục,"When the file appears in the directory, drag it into 
 the trash.","Khi tệp xuất hiện trong thư mục, kéo nó vào
 thùng rác.","파일이 디렉토리에 나타나면, 드래그해서 휴지통에 
 넣어주세요.",Place / Time
In the system,ɪn ðə ˈsɪstəm,시스템에서,Trong hệ thống,We've found a critical bug in the system.,Chúng tôi đã tìm thấy một lỗi quan trọng trong hệ thống.,시스템에서 심각한 버그를 발견했습니다.,Place / Time
At the beginning,æt ðə bɪˈɡɪnɪŋ,처음에,Lúc bắt đầu,"At the beginning of the project, we thought this would 
 be impossible.","Khi bắt đầu dự án, chúng tôi nghĩ rằng điều này sẽ
 là không thể.","프로젝트 처음에, 우리는 이 프로젝트가 불가능 
 할것이라고 생각했습니다.",Place / Time
At domain,æt dəʊˈmeɪn,도메인에서,Tại miền,You can find more information at www.geekhaus.club.,Bạn có thể tìm thêm thông tin tại www.geekhaus.club.,www.geekhaus.club 에서 더 많은 정보를 확인하실 수 있습니다.,Place / Time